userId,name,,status,latitude,longitude,description
0,Fishbowls Trailhead - 21W05,,Open,-119.1036,34.6447,Open in Spring/Summer/Fall and is within the Winter seasonal closure between November 1The Fishbowls Trailhead (elev. 5000 ft.) is located on the west side of Grade Valley Road (7N03) approximately 5.5 miles south of Lockwood Valley Road.Â  There is a parking lot with 5 parking spurs with hitching rails for horses and a vault toilet at the trailhead.Â  The signed trail starts from the west side of the parking lot.Â  There is no overnight camping allowed at the trailhead but camping is permitted at Halfmoon and Thorn Meadows Campgrounds further south on Grade Valley Road.Map showing recreational areas.
1,Peloncillo Mountains,,Open,-109.022,31.5077,The Peloncillo Mountains lie in a region of southeast Arizona southwest New Mexico and is part of the Coronado National Forest. Â It is a tall mountain range isolated by surrounding flatlands and valleys with sky islands of isolated fauna and flora.Â There are no developed recreation areas in the Peloncillo Mountains.Map showing recreational areas.
2,Nogales Recreation Area,,Open,-110.983,31.5399,Recreation opportunities in the Nogales Recreation Area are dispersed among theThe Santa Ritas are topped by 9.453 foot Mt. Wrightson which is surrounded by the 25260 acrePena Blanca LakeThe Pajaritos are home to scenicMap showing recreational areas.Areas for Mountain Biking at Nogales Recreation AreaAreas for Campground Camping at Nogales Recreation AreaAreas for RV Camping at Nogales Recreation AreaAreas for Group Camping at Nogales Recreation AreaAreas for Dispersed Camping at Nogales Recreation AreaAreas for Cabin Rentals at Nogales Recreation AreaAreas for Lake and Pond Fishing at Nogales Recreation AreaAreas for Day Hiking at Nogales Recreation AreaAreas for Backpacking at Nogales Recreation AreaAreas for Horse Camping at Nogales Recreation AreaAreas for Horse Riding at Nogales Recreation AreaAreas for Viewing Wildlife at Nogales Recreation AreaAreas for Viewing Plants at Nogales Recreation AreaAreas for Viewing Scenery at Nogales Recreation AreaAreas for Picnicking at Nogales Recreation AreaAreas for Boating - Motorized at Nogales Recreation Area
3,Santa Rita Mountains,,Open,-110.792,31.7234,Northern most mountain range within the Nogales Ranger District. Includes the popularMap showing recreational areas.
4,Pena Blanca Lake,,Open,-111.0865,31.405,This medium-sized body of water fills 49 acres of PeÃ±a Blanca Canyon in the Pajarito Mountain foothills. It is surrounded by grassy oak-dotted hills some of which are topped with bluffs of limestone.
5,Chiricahua Mountains,,Open,-109.278,31.8425,Part of the Douglas Ranger District.
6,Pajarito Mountains,,Open,-111.156,31.4743,Sycamore Canyon AreaMap showing recreational areas.
7,Santa Rita Mountains,,Open,-110.792,31.7234,Northern most mountain range within the Nogales Ranger District. Includes the popularMap showing recreational areas.
8,Safford Recreation Area,,Open,-109.843,32.6457,This recreation area is the home of the Coronado's most extensive mountain rangeThe Safford Recreation Area is also home to theThe Santa Teresas are rugged and remote with a variety ofÂ primitive trails leading into a 26780 acreYou may use motors up to 10 hp onSingle electric trolling motors are allowed on Arivaca Lake Riggs Lake and Pena Blanca Lake.Boats are not allowed on Rose Canyon Lake.Map showing recreational areas.
9,Galiuro Mountains,,Open,-110.346,32.6133,Located in the Galiuro Moutains Safford Ranger District on the Coronado National Forest.The
